fua,iso3,name,year,heat_days,uhi_night,pop,pop65,pct65,green_m2,cdd,r_hazard,r_modifier,r_vulnerability,r_capacity,r_energy,risk_full,risk_exposure_only,top_quintile_risk
CAN19F,CAN,St Johns,2020,0,1,207620,35248,16.977169829496194,277,4.072371308951409,0.008900523560209424,0.16282722513089004,0.3769633507853403,0.16963350785340314,0.01780104712041885,14.7,0.9,FALSE
CL026F,CHL,Punta Arenas,2020,0,2.8,132695,17196,12.959041410753985,57,0.04735198252504631,0.008900523560209424,0.9256544502617801,0.1769633507853403,0.874869109947644,0.0020942408376963353,39.8,0.9,FALSE
ES055F,ESP,Arrecife,2020,0,0.6,118144,13988,11.839788732394366,48,77.72597875291012,0.008900523560209424,0.060209424083769635,0.1518324607329843,0.9136125654450262,0.31308900523560207,29,0.9,FALSE
UK004F,GBR,Glasgow,2020,0,1.3,1847200,320604,17.356214811606755,168,1.9199689460915201,0.008900523560209424,0.2994764397905759,0.4031413612565445,0.41256544502617803,0.008376963350785341,22.6,0.9,FALSE
UK007F,GBR,Edinburgh,2020,0,0.5,912490,150644,16.509112428629354,120,1.473445194665954,0.008900523560209424,0.04712041884816754,0.3403141361256545,0.6287958115183246,0.007329842931937173,20.6,0.9,FALSE
UK012F,GBR,Belfast,2020,0,0.7,794824,136715,17.200663291495978,167,0.28180049150785885,0.008900523560209424,0.07801047120418848,0.39162303664921466,0.41518324607329843,0.005235602094240838,18,0.9,FALSE
UK016F,GBR,Aberdeen,2020,0,1.4,489840,88717,18.1114241384942,131,0.08107130866744611,0.008900523560209424,0.36020942408376966,0.4743455497382199,0.5821989528795811,0.0031413612565445027,28.6,0.9,FALSE
UK510F,GBR,Sunderland,2020,0,0.5,277846,55209,19.87035983962339,140,4.375369102512749,0.008900523560209424,0.04712041884816754,0.6460732984293194,0.5424083769633508,0.018848167539267015,25.3,0.9,FALSE
UK550F,GBR,Dundee City,2020,0,1,264640,54081,20.43568621523579,156,0.17980830627684086,0.008900523560209424,0.16282722513089004,0.6984293193717277,0.4654450261780105,0.004188481675392671,26.8,0.9,FALSE
UK551F,GBR,Falkirk,2020,0,1,160560,30655,19.09255107125062,195,2.0543273314793717,0.008900523560209424,0.16282722513089004,0.5654450261780105,0.3162303664921466,0.009424083769633508,21.3,0.9,FALSE
UK586F,GBR,Derry & Strabane Local Government District,2020,0,-0.3,151109,23428,15.504040129972404,224,0.5128631571658381,0.008900523560209424,0.0062827225130890054,0.28167539267015707,0.2418848167539267,0.0062827225130890054,10.9,0.9,FALSE
IS001F,ISL,Reykjavík,2020,0,0.9,228059,32535,14.266045190060467,212,2.873272547931524e-4,0.008900523560209424,0.12513089005235603,0.21675392670157068,0.2706806282722513,0.0010471204188481676,12.5,0.9,FALSE
MEX76F,MEX,Tianguistenco,2020,0,3.2,186148,11044,5.932913595633582,78,29.079926129087188,0.008900523560209424,0.9670157068062827,0.02198952879581152,0.7910994764397906,0.1068062827225131,37.9,0.9,FALSE
NO002F,NOR,Bergen,2020,0,-0.3,405056,64594,15.946930794754305,297,4.427657741800128,0.008900523560209424,0.0062827225130890054,0.3089005235602094,0.1586387434554974,0.019895287958115182,10.1,0.9,FALSE
NO004F,NOR,Stavanger,2020,0,0.5,291935,40329,13.814376487916832,195,2.4851756294920944,0.008900523560209424,0.04712041884816754,0.19790575916230366,0.3162303664921466,0.011518324607329843,11.6,0.9,FALSE
NZL03F,NZL,Wellington,2020,0,0.9,439930,54445,12.37583251880981,177,2.7203787912648654,0.008900523560209424,0.12513089005235603,0.16544502617801046,0.37801047120418846,0.014659685863874346,13.8,0.9,FALSE
UK050F,GBR,Burnley,2020,1,0.6,181489,34190,18.83860729851396,203,7.020001646923764,0.048167539267015703,0.060209424083769635,0.53717277486911,0.2931937172774869,0.024083769633507852,19.3,4.8,FALSE
AUS01F,AUS,Greater Sydney,2020,40.07059650563919,1.7,5295529,765399,14.45368347524865,146,244.27198566331955,0.5340314136125655,0.5287958115183246,0.2261780104712042,0.5094240837696336,0.6083769633507854,48.1,53.4,FALSE
AUS02F,AUS,Greater Melbourne,2020,19.69308826523589,2.5,5061107,720559,14.237181707480202,170,112.6091074672002,0.3968586387434555,0.8486910994764398,0.21465968586387435,0.4005235602094241,0.40209424083769635,45.3,39.7,FALSE
AUS03F,AUS,Greater Brisbane,2020,99.49596861549674,1.8,2545379,358243,14.074249846486515,205,503.4989494634508,0.8282722513089005,0.5848167539267015,0.20732984293193718,0.2879581151832461,0.8335078534031414,54.8,82.8,FALSE
AUS04F,AUS,Greater Perth,2020,66.42105832525333,2,2161561,324405,15.007904010111211,166,471.12593638288115,0.7141361256544503,0.6785340314136126,0.25654450261780104,0.42041884816753927,0.8178010471204189,57.7,71.4,FALSE
AUS05F,AUS,Greater Adelaide,2020,19.746284934003764,2.4,1392755,248732,17.858991710674168,158,238.95269487428777,0.39790575916230364,0.8151832460732984,0.4544502617801047,0.4544502617801047,0.5958115183246073,54.4,39.8,FALSE
AUS06F,AUS,Gold Coast,2020,75.22027437023903,1.5,642046,109236,17.01373421842049,160,378.17210196702473,0.7549738219895288,0.42041884816753927,0.37905759162303665,0.4424083769633508,0.7643979057591623,55.2,75.5,FALSE
