ref_area,measure,latest_year,status,lag_years
ARG,1_1,NA,missing,NA
ARG,1_2,NA,missing,NA
ARG,1_3,NA,missing,NA
ARG,1_3_VER,NA,missing,NA
ARG,1_4,NA,missing,NA
ARG,1_5,NA,missing,NA
ARG,1_6,NA,missing,NA
ARG,11_1,NA,missing,NA
ARG,11_1_DEP,NA,missing,NA
ARG,11_1_VER,NA,missing,NA
ARG,2_5,NA,missing,NA
ARG,2_6,NA,missing,NA
ARG,2_8,NA,missing,NA
ARG,2_9,NA,missing,NA
ARG,3_1,NA,missing,NA
ARG,3_2,NA,missing,NA
ARG,3_3,NA,missing,NA
ARG,3_4,NA,missing,NA
ARG,3_5,NA,missing,NA
ARG,4_1,NA,missing,NA
ARG,4_2,NA,missing,NA
ARG,4_3,NA,missing,NA
ARG,4_4,NA,missing,NA
ARG,4_4_DEP,NA,missing,NA
ARG,4_4_VER,NA,missing,NA
ARG,5_2,NA,missing,NA
ARG,5_2_DEP,NA,missing,NA
ARG,5_4,NA,missing,NA
ARG,6_1,NA,missing,NA
ARG,6_2,NA,missing,NA
ARG,6_3,NA,missing,NA
ARG,6_4,NA,missing,NA
ARG,6_4_DEP,NA,missing,NA
ARG,6_4_VER,NA,missing,NA
ARG,6_5,NA,missing,NA
ARG,6_5_VER,NA,missing,NA
ARG,7_2,NA,missing,NA
ARG,7_3,NA,missing,NA
ARG,7_3_DEP,NA,missing,NA
ARG,7_3_VER,NA,missing,NA
ARG,7_4,NA,missing,NA
ARG,8_1,NA,missing,NA
ARG,8_1_DEP,NA,missing,NA
ARG,9_1,NA,missing,NA
AUS,1_5,NA,missing,NA
AUS,2_9,NA,missing,NA
AUS,3_1,NA,missing,NA
AUS,3_5,NA,missing,NA
AUS,4_2,NA,missing,NA
AUS,4_4,NA,missing,NA
AUS,4_4_DEP,NA,missing,NA
AUS,4_4_VER,NA,missing,NA
AUS,5_4,NA,missing,NA
AUS,6_4,NA,missing,NA
AUS,6_5,NA,missing,NA
AUS,7_3,NA,missing,NA
AUS,7_3_DEP,NA,missing,NA
AUS,7_3_VER,NA,missing,NA
AUS,7_4,NA,missing,NA
AUS,9_1,NA,missing,NA
BEL,4_2,NA,missing,NA
BEL,6_4_DEP,NA,missing,NA
BEL,6_4_VER,NA,missing,NA
BEL,6_5_VER,NA,missing,NA
BGR,1_3,NA,missing,NA
BGR,1_3_VER,NA,missing,NA
BGR,1_6,NA,missing,NA
BGR,2_5,NA,missing,NA
BGR,2_6,NA,missing,NA
BGR,2_8,NA,missing,NA
BGR,3_3,NA,missing,NA
BGR,4_1,NA,missing,NA
BGR,4_2,NA,missing,NA
BGR,4_3,NA,missing,NA
BGR,6_1,NA,missing,NA
BGR,6_2,NA,missing,NA
BGR,6_3,NA,missing,NA
BGR,6_4,NA,missing,NA
BGR,6_4_DEP,NA,missing,NA
BGR,6_4_VER,NA,missing,NA
BGR,6_5,NA,missing,NA
BGR,6_5_VER,NA,missing,NA
BGR,7_2,NA,missing,NA
BGR,8_1,NA,missing,NA
BGR,8_1_DEP,NA,missing,NA
BRA,1_1,NA,missing,NA
BRA,1_3,NA,missing,NA
BRA,1_3_VER,NA,missing,NA
BRA,1_5,NA,missing,NA
BRA,1_6,NA,missing,NA
BRA,10_3,NA,missing,NA
BRA,11_1,NA,missing,NA
BRA,11_1_DEP,NA,missing,NA
BRA,11_1_VER,NA,missing,NA
BRA,2_3,NA,missing,NA
BRA,2_5,NA,missing,NA
BRA,2_6,NA,missing,NA
BRA,2_8,NA,missing,NA
BRA,2_9,NA,missing,NA
BRA,3_1,NA,missing,NA
BRA,3_2,NA,missing,NA
BRA,3_3,NA,missing,NA
BRA,3_5,NA,missing,NA
BRA,4_1,NA,missing,NA
BRA,4_2,NA,missing,NA
BRA,4_3,NA,missing,NA
BRA,4_4,NA,missing,NA
BRA,4_4_DEP,NA,missing,NA
BRA,4_4_VER,NA,missing,NA
BRA,5_2,NA,missing,NA
BRA,5_2_DEP,NA,missing,NA
BRA,5_4,NA,missing,NA
BRA,6_4,NA,missing,NA
BRA,6_4_DEP,NA,missing,NA
BRA,6_4_VER,NA,missing,NA
BRA,6_5,NA,missing,NA
BRA,6_5_VER,NA,missing,NA
BRA,7_2,NA,missing,NA
BRA,7_3,NA,missing,NA
BRA,7_3_DEP,NA,missing,NA
BRA,7_3_VER,NA,missing,NA
BRA,7_4,NA,missing,NA
BRA,8_1,NA,missing,NA
BRA,8_1_DEP,NA,missing,NA
BRA,9_1,NA,missing,NA
CAN,3_1,NA,missing,NA
CAN,3_5,NA,missing,NA
CAN,5_4,NA,missing,NA
CAN,9_1,NA,missing,NA
CHE,1_3,NA,missing,NA
CHE,1_3_VER,NA,missing,NA
CHE,1_6,NA,missing,NA
CHE,2_6,NA,missing,NA
CHE,4_1,NA,missing,NA
CHE,4_2,NA,missing,NA
CHE,4_3,NA,missing,NA
CHE,5_4,NA,missing,NA
CHE,6_4,NA,missing,NA
CHE,6_4_VER,NA,missing,NA
CHE,6_5,NA,missing,NA
CHE,6_5_VER,NA,missing,NA
CHE,7_2,NA,missing,NA
CHL,1_1,NA,missing,NA
CHL,1_5,NA,missing,NA
CHL,11_1,NA,missing,NA
CHL,11_1_DEP,NA,missing,NA
CHL,11_1_VER,NA,missing,NA
CHL,2_3,NA,missing,NA
CHL,2_9,NA,missing,NA
CHL,3_5,NA,missing,NA
CHL,4_1,NA,missing,NA
CHL,4_2,NA,missing,NA
CHL,4_3,NA,missing,NA
CHL,4_4,NA,missing,NA
CHL,4_4_DEP,NA,missing,NA
CHL,4_4_VER,NA,missing,NA
CHL,5_4,NA,missing,NA
CHL,7_2,NA,missing,NA
CHL,7_3,NA,missing,NA
CHL,7_3_DEP,NA,missing,NA
CHL,7_3_VER,NA,missing,NA
CHL,7_4,NA,missing,NA
CHL,9_1,NA,missing,NA
COL,1_1,NA,missing,NA
COL,1_2,NA,missing,NA
COL,1_3,NA,missing,NA
COL,1_3_VER,NA,missing,NA
COL,1_4,NA,missing,NA
COL,1_5,NA,missing,NA
COL,1_6,NA,missing,NA
COL,10_3,NA,missing,NA
COL,2_5,NA,missing,NA
COL,2_6,NA,missing,NA
COL,2_9,NA,missing,NA
COL,3_4,NA,missing,NA
COL,3_5,NA,missing,NA
COL,4_1,NA,missing,NA
COL,4_3,NA,missing,NA
COL,5_4,NA,missing,NA
COL,6_4,NA,missing,NA
COL,6_4_DEP,NA,missing,NA
COL,6_4_VER,NA,missing,NA
COL,6_5,NA,missing,NA
COL,6_5_VER,NA,missing,NA
COL,7_2,NA,missing,NA
COL,7_3,NA,missing,NA
COL,7_3_DEP,NA,missing,NA
COL,7_3_VER,NA,missing,NA
COL,7_4,NA,missing,NA
COL,9_1,NA,missing,NA
CRI,1_3,NA,missing,NA
CRI,1_3_VER,NA,missing,NA
CRI,1_5,NA,missing,NA
CRI,1_6,NA,missing,NA
CRI,10_3,NA,missing,NA
CRI,11_1,NA,missing,NA
CRI,11_1_DEP,NA,missing,NA
CRI,11_1_VER,NA,missing,NA
CRI,2_5,NA,missing,NA
CRI,2_6,NA,missing,NA
CRI,2_9,NA,missing,NA
CRI,3_4,NA,missing,NA
CRI,3_5,NA,missing,NA
CRI,4_1,NA,missing,NA
CRI,4_2,NA,missing,NA
CRI,4_3,NA,missing,NA
CRI,4_4,NA,missing,NA
CRI,4_4_DEP,NA,missing,NA
CRI,4_4_VER,NA,missing,NA
CRI,5_4,NA,missing,NA
CRI,6_4,NA,missing,NA
CRI,6_4_DEP,NA,missing,NA
CRI,6_4_VER,NA,missing,NA
CRI,6_5,NA,missing,NA
CRI,6_5_VER,NA,missing,NA
CRI,7_2,NA,missing,NA
CRI,7_3,NA,missing,NA
CRI,7_3_DEP,NA,missing,NA
CRI,7_3_VER,NA,missing,NA
CRI,7_4,NA,missing,NA
CRI,9_1,NA,missing,NA
CZE,4_1,NA,missing,NA
CZE,4_2,NA,missing,NA
CZE,4_3,NA,missing,NA
CZE,7_2,NA,missing,NA
DNK,4_1,NA,missing,NA
DNK,4_2,NA,missing,NA
DNK,4_3,NA,missing,NA
DNK,7_2,NA,missing,NA
EST,4_2,NA,missing,NA
GBR,6_4,NA,missing,NA
GBR,6_4_DEP,NA,missing,NA
GBR,6_4_VER,NA,missing,NA
GBR,6_5,NA,missing,NA
GBR,6_5_VER,NA,missing,NA
GRC,4_2,NA,missing,NA
GRC,6_4,NA,missing,NA
GRC,6_5,NA,missing,NA
HRV,2_5,NA,missing,NA
HRV,2_6,NA,missing,NA
HRV,2_8,NA,missing,NA
HRV,3_3,NA,missing,NA
HRV,4_1,NA,missing,NA
HRV,4_2,NA,missing,NA
HRV,4_3,NA,missing,NA
HRV,6_1,NA,missing,NA
HRV,6_1_DEP,NA,missing,NA
HRV,6_1_VER,NA,missing,NA
HRV,6_2,NA,missing,NA
HRV,6_2_VER,NA,missing,NA
HRV,6_3,NA,missing,NA
HRV,6_3_VER,NA,missing,NA
HRV,6_4,NA,missing,NA
HRV,6_4_VER,NA,missing,NA
HRV,6_5,NA,missing,NA
HRV,6_5_VER,NA,missing,NA
HRV,7_2,NA,missing,NA
HRV,8_1,NA,missing,NA
HRV,8_1_DEP,NA,missing,NA
HUN,4_2,NA,missing,NA
HUN,8_1,NA,missing,NA
HUN,8_1_DEP,NA,missing,NA
IDN,1_1,NA,missing,NA
IDN,1_2,NA,missing,NA
IDN,1_3,NA,missing,NA
IDN,1_3_VER,NA,missing,NA
IDN,1_4,NA,missing,NA
IDN,1_5,NA,missing,NA
IDN,1_6,NA,missing,NA
IDN,10_1,NA,missing,NA
IDN,10_3,NA,missing,NA
IDN,11_1,NA,missing,NA
IDN,11_1_DEP,NA,missing,NA
IDN,11_1_VER,NA,missing,NA
IDN,2_2,NA,missing,NA
IDN,2_3,NA,missing,NA
IDN,2_4,NA,missing,NA
IDN,2_5,NA,missing,NA
IDN,2_6,NA,missing,NA
IDN,2_8,NA,missing,NA
IDN,2_8_DEP,NA,missing,NA
IDN,2_8_VER,NA,missing,NA
IDN,2_9,NA,missing,NA
IDN,3_1,NA,missing,NA
IDN,3_2,NA,missing,NA
