rule,severity,detail,ref_area,measure,time_period
series_break,info,Break in time series - not comparable with earlier years,AUS,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,AUS,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,AUS,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,AUS,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,AUS,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,AUS,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,AUS,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,AUS,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,AUS,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,AUS,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,BEL,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,BEL,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,BEL,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,BEL,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,BEL,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,BEL,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,BEL,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,BEL,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,BEL,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,BEL,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,CHL,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,CHL,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,CZE,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,CZE,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,CZE,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,CZE,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,CZE,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,CZE,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,CZE,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,CZE,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,CZE,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,CZE,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,DNK,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,DNK,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,DNK,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,DNK,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,DEU,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,DEU,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,DEU,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,DEU,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,DEU,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,DEU,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,DEU,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,DEU,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,DEU,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,DEU,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,GRC,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,GRC,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,GRC,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,GRC,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,GRC,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,GRC,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,GRC,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,GRC,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,GRC,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,GRC,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,IRL,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,IRL,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,IRL,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,IRL,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,IRL,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,IRL,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,IRL,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,IRL,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,IRL,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,IRL,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,ISR,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,ISR,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,ISR,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,ISR,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,ISR,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,ISR,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,ISR,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,ISR,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,ITA,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,ITA,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,ITA,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,ITA,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,ITA,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,ITA,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,ITA,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,ITA,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,ITA,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,ITA,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,JPN,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,JPN,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,JPN,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,JPN,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,JPN,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,JPN,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,JPN,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,JPN,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,JPN,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,JPN,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,KOR,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,KOR,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,KOR,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,KOR,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,KOR,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,KOR,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,KOR,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,KOR,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,LTU,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,LTU,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,LTU,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,LTU,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,LTU,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,LTU,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,LTU,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,LTU,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,LTU,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,LUX,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,LUX,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,LUX,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,LUX,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,LUX,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,LUX,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,LUX,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,LUX,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,LUX,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,MEX,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,NLD,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,NLD,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,NLD,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,NLD,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,NLD,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,NLD,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,NLD,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,NLD,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,NLD,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,NLD,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,POL,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,POL,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,POL,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,POL,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,POL,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,POL,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,POL,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,POL,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,POL,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,POL,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,SVK,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,SVK,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,SVK,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,SVK,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,SVK,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,SVK,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,SVK,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,SVK,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,SVK,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,SVK,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,SVN,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,SVN,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,SVN,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,SVN,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,SVN,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,SVN,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,SVN,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,SVN,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,SVN,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,SVN,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,ESP,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,ESP,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,ESP,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,SWE,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,SWE,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,SWE,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,SWE,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,SWE,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,SWE,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,SWE,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,SWE,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,SWE,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,SWE,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,CHE,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,CHE,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,CHE,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,CHE,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,CHE,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,CHE,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,CHE,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,CHE,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,CHE,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,CHE,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,TUR,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,TUR,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,TUR,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,TUR,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,TUR,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,TUR,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,TUR,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,TUR,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,TUR,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,TUR,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,GBR,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,GBR,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,GBR,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,GBR,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,GBR,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,GBR,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,GBR,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,GBR,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,GBR,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,GBR,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,BRA,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,BRA,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,BRA,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,BRA,2_1,2011
series_break,info,Break in time series - not comparable with earlier years,BRA,2_1,2012
series_break,info,Break in time series - not comparable with earlier years,BRA,2_1,2013
series_break,info,Break in time series - not comparable with earlier years,BRA,2_1,2014
series_break,info,Break in time series - not comparable with earlier years,BRA,2_1,2015
series_break,info,Break in time series - not comparable with earlier years,IDN,2_1,2004
series_break,info,Break in time series - not comparable with earlier years,IDN,2_1,2005
series_break,info,Break in time series - not comparable with earlier years,IDN,2_1,2006
series_break,info,Break in time series - not comparable with earlier years,IDN,2_1,2007
series_break,info,Break in time series - not comparable with earlier years,IDN,2_1,2008
series_break,info,Break in time series - not comparable with earlier years,IDN,2_1,2009
series_break,info,Break in time series - not comparable with earlier years,IDN,2_1,2010
series_break,info,Break in time series - not comparable with earlier years,ROU,2_1,2015
series_break,info,Break in time series - not comparable with earlier years,AUS,2_1,2004
