domain,measure,n_countries,latest_year,lag_years,n_obs,pct_flagged
HSL_2,2_6,36,2015,11,93,0
HSL_2,2_5,35,2016,10,346,0
HSL_6,6_4_VER,29,2017,9,30,0
HSL_6,6_5_VER,29,2017,9,30,0
HSL_9,9_1,29,2018,8,58,0
HSL_5,5_4,29,2019,7,55,0
HSL_9,9_2,46,2020,6,782,0
HSL_4,4_2,15,2022,4,20,5
HSL_4,4_1,22,2022,4,48,2.1
HSL_4,4_3,24,2022,4,34,17.6
HSL_7,7_3_DEP,31,2022,4,87,1.1
HSL_7,7_3_VER,31,2022,4,87,3.4
HSL_4,4_4_DEP,32,2022,4,89,1.1
HSL_4,4_4_VER,32,2022,4,89,3.4
HSL_4,4_4,33,2022,4,92,1.1
HSL_7,7_3,33,2022,4,91,1.1
HSL_6,6_1,39,2022,4,228,0
HSL_6,6_2,39,2022,4,230,0
HSL_6,6_3,39,2022,4,230,0
HSL_6,6_1_DEP,45,2022,4,82,0
HSL_6,6_1_VER,45,2022,4,82,0
HSL_6,6_2_VER,45,2022,4,83,0
HSL_6,6_3_VER,45,2022,4,83,0
HSL_7,7_2,24,2023,3,38,2.6
HSL_6,6_4,25,2023,3,50,0
HSL_6,6_5,25,2023,3,50,0
HSL_1,1_3_VER,30,2023,3,104,3.8
HSL_1,1_3,31,2023,3,108,3.7
HSL_1,1_6,31,2023,3,98,63.3
HSL_8,8_1,32,2023,3,51,0
HSL_8,8_1_DEP,32,2023,3,51,0
HSL_6,6_4_DEP,33,2023,3,58,0
HSL_10,10_1,45,2023,3,822,1
HSL_2,2_9,33,2024,2,95,1.1
HSL_7,7_4,33,2024,2,74,6.8
HSL_11,11_1_DEP,36,2024,2,208,4.8
HSL_11,11_1_VER,36,2024,2,208,6.2
HSL_3,3_3,36,2024,2,453,4.2
HSL_2,2_8,38,2024,2,793,0
HSL_3,3_1,38,2024,2,495,11.9
HSL_3,3_4,39,2024,2,600,10.3
HSL_5,5_2_DEP,40,2024,2,700,12.6
HSL_5,5_2,41,2024,2,704,12.6
HSL_2,2_2,44,2024,2,594,0
HSL_2,2_4,44,2024,2,766,26.1
HSL_2,2_8_VER,44,2024,2,651,0
HSL_5,5_3,46,2024,2,877,0
HSL_5,5_1,47,2024,2,943,6
HSL_9,9_3,47,2024,2,987,0
HSL_3,3_5,30,2025,1,614,4.2
HSL_1,1_5,33,2025,1,630,4
HSL_1,1_1,37,2025,1,769,13.5
HSL_11,11_1,37,2025,1,252,7.5
HSL_10,10_3,40,2025,1,806,2
HSL_3,3_2,40,2025,1,785,7.6
HSL_1,1_2,42,2025,1,608,0.2
HSL_1,1_4,42,2025,1,608,0.2
HSL_2,2_3,43,2025,1,913,0
HSL_2,2_7,43,2025,1,907,0
HSL_2,2_8_DEP,43,2025,1,577,0
HSL_10,10_2,47,2025,1,933,0.1
HSL_10,10_2_DEP,47,2025,1,933,0.1
HSL_11,11_2,47,2025,1,935,0.1
HSL_11,11_3,47,2025,1,936,0.1
HSL_2,2_1,47,2025,1,1003,0
HSL_7,7_1,47,2025,1,936,0.1
HSL_7,7_1_DEP,47,2025,1,936,0.1
HSL_8,8_2,47,2026,0,287,0.3
