iso3,year,n_cities,pop_urban,pop65_urban,exposure_only,risk_wmean65,risk_n65,risk_share65,rank_exposure,rank_risk,rank_shift
JPN,2020,60,99650474,26366037,56.68472129847578,74.60114342174366,22497792,85.32868250165923,6,1,5
ITA,2020,65,33350671,7579979,61.878463911255395,68.23006417300101,5465954,72.11041085997732,3,2,1
ESP,2020,47,35018244,6567947,60.275079773671735,63.476456021950234,4038707,61.49116306815509,4,3,1
TUR,2020,26,38309520,3054303,60.22583217355701,61.92139001926135,1490703,48.80665081362262,5,4,1
MEX,2020,91,83665189,6216462,118.30217916973695,62.7961550959372,2601155,41.84301295495734,1,5,-4
BGR,2020,7,3393152,773465,38.76424717881211,59.6296132339537,221235,28.60310421286031,11,6,5
KOR,2020,21,42482065,6327463,40.74841629778588,59.013626187936616,813526,12.85706451385018,8,7,1
USA,2020,202,244126462,38510379,95.04503774723105,55.0858532085597,4268052,11.082861583886256,2,8,-6
PRT,2020,5,5296149,1133426,20.746056572175966,56.91159502252463,69473,6.129469413971446,14,9,5
FRA,2020,62,42001845,7528113,27.64128948310266,54.23244810485709,158783,2.1092005393649114,12,10,2
CHL,2020,23,13563101,1609062,39.47099140215531,45.44480815531036,33327,2.0712067030356818,10,11,-1
HUN,2020,10,5384950,1038968,39.80926844825686,53.41972977031054,0,0,9,12,-3
AUS,2020,16,19846929,2994999,46.23515181647558,48.89909956564259,0,0,7,13,-6
AUT,2020,6,5392320,1041154,17.098481907760696,47.79109949152575,0,0,16,14,2
CAN,2020,25,27179789,4481759,22.01403084855371,47.384918912418094,0,0,13,15,-2
NLD,2020,26,13625013,2580579,12.586531221832193,43.78754907328936,0,0,21,16,5
DEU,2020,71,49063875,10196676,16.468019534868162,43.69187352819684,0,0,18,17,1
BEL,2020,10,7674605,1430529,16.41145829659475,43.64192882493119,0,0,19,18,1
LVA,2020,3,1366617,276369,7.978849984029798,42.016110345226856,0,0,24,19,5
CHE,2020,10,5728280,1055217,16.86829167008155,40.30497016253529,0,0,17,20,-3
CZE,2020,10,4979168,960033,12.633494709227195,39.748325734636204,0,0,20,21,-1
POL,2020,36,17818555,3343422,10.677055699934769,38.02236131125535,0,0,22,22,0
SVK,2020,5,1877697,314500,18.515794441244523,35.46341717011129,0,0,15,23,-8
LTU,2020,5,1982048,378428,9.182477960760362,35.08039944190176,0,0,23,24,-1
DNK,2020,4,3422746,610778,3.485915168246734,29.38635510774782,0,0,26,25,1
GBR,2020,78,51584619,8989299,3.604238018190191,29.245612755788855,0,0,25,26,-1
SWE,2020,9,5805517,1014138,1.5015538966037485,28.10623317536667,0,0,28,27,1
NZL,2020,6,3158340,417470,2.371073042641382,26.336371475794667,0,0,27,28,-1
FIN,2020,6,3129644,590270,0.8210731670422099,25.275584393582598,0,0,29,29,0
NOR,2020,4,2408785,359423,0.25064766692008267,20.244937580510985,0,0,30,30,0
