REF_AREA,MEASURE,UNIT_MEASURE,AGE,SEX,EDUCATION_LEV,DOMAIN,TIME_PERIOD,OBS_VALUE,OBS_STATUS
AUS,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,46.24,E
AUT,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,17.1,E
BEL,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,16.41,E
BGR,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,38.76,E
CAN,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,22.01,E
CHE,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,16.87,E
CHL,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,39.47,E
CZE,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,12.63,E
DEU,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,16.47,E
DNK,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,3.49,E
ESP,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,60.28,E
FIN,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,0.82,E
FRA,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,27.64,E
GBR,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,3.6,E
HUN,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,39.81,E
ITA,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,61.88,E
JPN,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,56.68,E
KOR,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,40.75,E
LTU,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,9.18,E
LVA,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,7.98,E
MEX,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,118.3,E
NLD,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,12.59,E
NOR,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,0.25,E
NZL,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,2.37,E
POL,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,10.68,E
PRT,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,20.75,E
SVK,ENV_HEATEXP_URB,D_Y,_T,_T,_T,HSL_9,2020,18.52,E
